source,destination,distance_km,base_time_hr,road_type,road_type_code,src_lat,src_lon,dst_lat,dst_lon
Bikaner,Noida,403.5,5.38,highway,2,28.0229,73.3119,28.5355,77.391
Noida,Mathura,119.3,2.17,regional,1,28.5355,77.391,27.4924,77.6737
Mathura,Noida,119.3,2.17,regional,1,27.4924,77.6737,28.5355,77.391
Noida,Meerut,58.6,1.68,city,0,28.5355,77.391,28.9845,77.7064
Meerut,Noida,58.6,1.68,city,0,28.9845,77.7064,28.5355,77.391
Noida,Haridwar,173.8,3.16,regional,1,28.5355,77.391,29.9457,78.1642
Haridwar,Noida,173.8,3.16,regional,1,29.9457,78.1642,28.5355,77.391
Noida,Chandigarh,251.4,3.35,highway,2,28.5355,77.391,30.7333,76.7794
Chandigarh,Noida,251.4,3.35,highway,2,30.7333,76.7794,28.5355,77.391
Noida,Amritsar,421.2,5.62,highway,2,28.5355,77.391,31.634,74.8723
Amritsar,Noida,421.2,5.62,highway,2,31.634,74.8723,28.5355,77.391
Noida,Ludhiana,301.9,4.02,highway,2,28.5355,77.391,30.901,75.8573
Ludhiana,Noida,301.9,4.02,highway,2,30.901,75.8573,28.5355,77.391
Noida,Mumbai,1147.4,15.3,highway,2,28.5355,77.391,19.076,72.8777
Mumbai,Noida,1147.4,15.3,highway,2,19.076,72.8777,28.5355,77.391
Noida,Pune,1170.2,15.6,highway,2,28.5355,77.391,18.5204,73.8567
Pune,Noida,1170.2,15.6,highway,2,18.5204,73.8567,28.5355,77.391
Noida,Nashik,1016.9,13.56,highway,2,28.5355,77.391,20.0006,73.7828
Nashik,Noida,1016.9,13.56,highway,2,20.0006,73.7828,28.5355,77.391
Noida,Nagpur,839.3,11.19,highway,2,28.5355,77.391,21.1458,79.0882
Nagpur,Noida,839.3,11.19,highway,2,21.1458,79.0882,28.5355,77.391
Noida,Ahmedabad,780.0,10.4,highway,2,28.5355,77.391,23.0225,72.5714
Ahmedabad,Noida,780.0,10.4,highway,2,23.0225,72.5714,28.5355,77.391
Noida,Surat,939.1,12.52,highway,2,28.5355,77.391,21.1702,72.8311
Surat,Noida,939.1,12.52,highway,2,21.1702,72.8311,28.5355,77.391
Noida,Vadodara,811.2,10.82,highway,2,28.5355,77.391,22.3072,73.1812
Vadodara,Noida,811.2,10.82,highway,2,22.3072,73.1812,28.5355,77.391
Noida,Rajkot,957.7,12.77,highway,2,28.5355,77.391,22.3039,70.8022
Rajkot,Noida,957.7,12.77,highway,2,22.3039,70.8022,28.5355,77.391
Noida,Indore,664.7,8.86,highway,2,28.5355,77.391,22.7196,75.8577
Indore,Noida,664.7,8.86,highway,2,22.7196,75.8577,28.5355,77.391
Noida,Bhopal,586.6,7.82,highway,2,28.5355,77.391,23.2599,77.4126
Bhopal,Noida,586.6,7.82,highway,2,23.2599,77.4126,28.5355,77.391
Noida,Bangalore,1730.8,23.08,highway,2,28.5355,77.391,12.9716,77.5946
Bangalore,Noida,1730.8,23.08,highway,2,12.9716,77.5946,28.5355,77.391
Noida,Chennai,1743.9,23.25,highway,2,28.5355,77.391,13.0827,80.2707
Chennai,Noida,1743.9,23.25,highway,2,13.0827,80.2707,28.5355,77.391
Noida,Hyderabad,1244.9,16.6,highway,2,28.5355,77.391,17.385,78.4867
Hyderabad,Noida,1244.9,16.6,highway,2,17.385,78.4867,28.5355,77.391
Noida,Kochi,2072.0,27.63,highway,2,28.5355,77.391,9.9312,76.2673
Kochi,Noida,2072.0,27.63,highway,2,9.9312,76.2673,28.5355,77.391
Noida,Coimbatore,1948.5,25.98,highway,2,28.5355,77.391,11.0168,76.9558
Coimbatore,Noida,1948.5,25.98,highway,2,11.0168,76.9558,28.5355,77.391
Noida,Kolkata,1284.1,17.12,highway,2,28.5355,77.391,22.5726,88.3639
Kolkata,Noida,1284.1,17.12,highway,2,22.5726,88.3639,28.5355,77.391
Noida,Patna,833.6,11.12,highway,2,28.5355,77.391,25.5941,85.1376
Patna,Noida,833.6,11.12,highway,2,25.5941,85.1376,28.5355,77.391
Noida,Bhubaneswar,1251.5,16.69,highway,2,28.5355,77.391,20.2961,85.8245
Bhubaneswar,Noida,1251.5,16.69,highway,2,20.2961,85.8245,28.5355,77.391
Noida,Guwahati,1440.7,19.21,highway,2,28.5355,77.391,26.1445,91.7362
Guwahati,Noida,1440.7,19.21,highway,2,26.1445,91.7362,28.5355,77.391
Noida,Ranchi,979.4,13.06,highway,2,28.5355,77.391,23.3441,85.3096
Ranchi,Noida,979.4,13.06,highway,2,23.3441,85.3096,28.5355,77.391
Gurgaon,Lucknow,425.6,5.68,highway,2,28.4595,77.0266,26.8467,80.9462
Lucknow,Gurgaon,425.6,5.68,highway,2,26.8467,80.9462,28.4595,77.0266
Gurgaon,Kanpur,395.3,5.27,highway,2,28.4595,77.0266,26.4499,80.3319
Kanpur,Gurgaon,395.3,5.27,highway,2,26.4499,80.3319,28.4595,77.0266
Gurgaon,Varanasi,685.4,9.14,highway,2,28.4595,77.0266,25.3176,82.9739
Varanasi,Gurgaon,685.4,9.14,highway,2,25.3176,82.9739,28.4595,77.0266
Gurgaon,Prayagraj,584.1,7.79,highway,2,28.4595,77.0266,25.4358,81.8463
Prayagraj,Gurgaon,584.1,7.79,highway,2,25.4358,81.8463,28.4595,77.0266
Gurgaon,Jodhpur,466.0,6.21,highway,2,28.4595,77.0266,26.2389,73.0243
Jodhpur,Gurgaon,466.0,6.21,highway,2,26.2389,73.0243,28.4595,77.0266
Gurgaon,Udaipur,542.4,7.23,highway,2,28.4595,77.0266,24.5854,73.7125
Udaipur,Gurgaon,542.4,7.23,highway,2,24.5854,73.7125,28.4595,77.0266
Gurgaon,Kota,378.9,5.05,highway,2,28.4595,77.0266,25.2138,75.8648
Kota,Gurgaon,378.9,5.05,highway,2,25.2138,75.8648,28.4595,77.0266
Gurgaon,Bikaner,367.1,4.89,highway,2,28.4595,77.0266,28.0229,73.3119
Bikaner,Gurgaon,367.1,4.89,highway,2,28.0229,73.3119,28.4595,77.0266
Gurgaon,Mathura,124.9,2.27,regional,1,28.4595,77.0266,27.4924,77.6737
Mathura,Gurgaon,124.9,2.27,regional,1,27.4924,77.6737,28.4595,77.0266
Gurgaon,Meerut,88.3,1.61,regional,1,28.4595,77.0266,28.9845,77.7064
Meerut,Gurgaon,88.3,1.61,regional,1,28.9845,77.7064,28.4595,77.0266
Gurgaon,Haridwar,198.7,3.61,regional,1,28.4595,77.0266,29.9457,78.1642
Haridwar,Gurgaon,198.7,3.61,regional,1,29.9457,78.1642,28.4595,77.0266
Gurgaon,Chandigarh,254.0,3.39,highway,2,28.4595,77.0266,30.7333,76.7794
Chandigarh,Gurgaon,254.0,3.39,highway,2,30.7333,76.7794,28.4595,77.0266
Gurgaon,Amritsar,409.4,5.46,highway,2,28.4595,77.0266,31.634,74.8723
Amritsar,Gurgaon,409.4,5.46,highway,2,31.634,74.8723,28.4595,77.0266
Gurgaon,Ludhiana,294.0,3.92,highway,2,28.4595,77.0266,30.901,75.8573
Ludhiana,Gurgaon,294.0,3.92,highway,2,30.901,75.8573,28.4595,77.0266
Gurgaon,Mumbai,1125.3,15.0,highway,2,28.4595,77.0266,19.076,72.8777
Mumbai,Gurgaon,1125.3,15.0,highway,2,19.076,72.8777,28.4595,77.0266
Gurgaon,Pune,1151.3,15.35,highway,2,28.4595,77.0266,18.5204,73.8567
Pune,Gurgaon,1151.3,15.35,highway,2,18.5204,73.8567,28.4595,77.0266
Gurgaon,Nashik,996.3,13.28,highway,2,28.4595,77.0266,20.0006,73.7828
Nashik,Gurgaon,996.3,13.28,highway,2,20.0006,73.7828,28.4595,77.0266
Gurgaon,Nagpur,839.4,11.19,highway,2,28.4595,77.0266,21.1458,79.0882
Nagpur,Gurgaon,839.4,11.19,highway,2,21.1458,79.0882,28.4595,77.0266
Gurgaon,Ahmedabad,751.2,10.02,highway,2,28.4595,77.0266,23.0225,72.5714
Ahmedabad,Gurgaon,751.2,10.02,highway,2,23.0225,72.5714,28.4595,77.0266
Gurgaon,Surat,914.3,12.19,highway,2,28.4595,77.0266,21.1702,72.8311
Surat,Gurgaon,914.3,12.19,highway,2,21.1702,72.8311,28.4595,77.0266
Gurgaon,Vadodara,785.5,10.47,highway,2,28.4595,77.0266,22.3072,73.1812
Vadodara,Gurgaon,785.5,10.47,highway,2,22.3072,73.1812,28.4595,77.0266
Gurgaon,Rajkot,926.7,12.36,highway,2,28.4595,77.0266,22.3039,70.8022
Rajkot,Gurgaon,926.7,12.36,highway,2,22.3039,70.8022,28.4595,77.0266
Gurgaon,Indore,648.9,8.65,highway,2,28.4595,77.0266,22.7196,75.8577
Indore,Gurgaon,648.9,8.65,highway,2,22.7196,75.8577,28.4595,77.0266
Gurgaon,Bhopal,579.5,7.73,highway,2,28.4595,77.0266,23.2599,77.4126
Bhopal,Gurgaon,579.5,7.73,highway,2,23.2599,77.4126,28.4595,77.0266
Gurgaon,Bangalore,1723.2,22.98,highway,2,28.4595,77.0266,12.9716,77.5946
Bangalore,Gurgaon,1723.2,22.98,highway,2,12.9716,77.5946,28.4595,77.0266
Gurgaon,Chennai,1742.5,23.23,highway,2,28.4595,77.0266,13.0827,80.2707
Chennai,Gurgaon,1742.5,23.23,highway,2,13.0827,80.2707,28.4595,77.0266
Gurgaon,Hyderabad,1240.4,16.54,highway,2,28.4595,77.0266,17.385,78.4867
Hyderabad,Gurgaon,1240.4,16.54,highway,2,17.385,78.4867,28.4595,77.0266
Gurgaon,Kochi,2061.8,27.49,highway,2,28.4595,77.0266,9.9312,76.2673
Kochi,Gurgaon,2061.8,27.49,highway,2,9.9312,76.2673,28.4595,77.0266
Gurgaon,Coimbatore,1939.6,25.86,highway,2,28.4595,77.0266,11.0168,76.9558
Coimbatore,Gurgaon,1939.6,25.86,highway,2,11.0168,76.9558,28.4595,77.0266
Gurgaon,Kolkata,1311.5,17.49,highway,2,28.4595,77.0266,22.5726,88.3639
Kolkata,Gurgaon,1311.5,17.49,highway,2,22.5726,88.3639,28.4595,77.0266
Gurgaon,Patna,864.0,11.52,highway,2,28.4595,77.0266,25.5941,85.1376
Patna,Gurgaon,864.0,11.52,highway,2,25.5941,85.1376,28.4595,77.0266
Gurgaon,Bhubaneswar,1271.0,16.95,highway,2,28.4595,77.0266,20.2961,85.8245
Bhubaneswar,Gurgaon,1271.0,16.95,highway,2,20.2961,85.8245,28.4595,77.0266
Gurgaon,Guwahati,1475.0,19.67,highway,2,28.4595,77.0266,26.1445,91.7362
Guwahati,Gurgaon,1475.0,19.67,highway,2,26.1445,91.7362,28.4595,77.0266
Gurgaon,Ranchi,1004.5,13.39,highway,2,28.4595,77.0266,23.3441,85.3096
Ranchi,Gurgaon,1004.5,13.39,highway,2,23.3441,85.3096,28.4595,77.0266
Lucknow,Kanpur,75.3,2.15,city,0,26.8467,80.9462,26.4499,80.3319
Kanpur,Lucknow,75.3,2.15,city,0,26.4499,80.3319,26.8467,80.9462
Lucknow,Varanasi,264.4,3.53,highway,2,26.8467,80.9462,25.3176,82.9739
Varanasi,Lucknow,264.4,3.53,highway,2,25.3176,82.9739,26.8467,80.9462
Lucknow,Prayagraj,180.8,3.29,regional,1,26.8467,80.9462,25.4358,81.8463
Prayagraj,Lucknow,180.8,3.29,regional,1,25.4358,81.8463,26.8467,80.9462
Lucknow,Jodhpur,790.8,10.54,highway,2,26.8467,80.9462,26.2389,73.0243
Jodhpur,Lucknow,790.8,10.54,highway,2,26.2389,73.0243,26.8467,80.9462
Lucknow,Udaipur,766.9,10.23,highway,2,26.8467,80.9462,24.5854,73.7125
Udaipur,Lucknow,766.9,10.23,highway,2,24.5854,73.7125,26.8467,80.9462
Lucknow,Kota,539.1,7.19,highway,2,26.8467,80.9462,25.2138,75.8648
Kota,Lucknow,539.1,7.19,highway,2,25.2138,75.8648,26.8467,80.9462
Lucknow,Bikaner,764.6,10.19,highway,2,26.8467,80.9462,28.0229,73.3119
Bikaner,Lucknow,764.6,10.19,highway,2,28.0229,73.3119,26.8467,80.9462
Lucknow,Mathura,331.6,4.42,highway,2,26.8467,80.9462,27.4924,77.6737
Mathura,Lucknow,331.6,4.42,highway,2,27.4924,77.6737,26.8467,80.9462
Lucknow,Meerut,397.3,5.3,highway,2,26.8467,80.9462,28.9845,77.7064
Meerut,Lucknow,397.3,5.3,highway,2,28.9845,77.7064,26.8467,80.9462
Lucknow,Haridwar,439.0,5.85,highway,2,26.8467,80.9462,29.9457,78.1642
Haridwar,Lucknow,439.0,5.85,highway,2,29.9457,78.1642,26.8467,80.9462
Lucknow,Chandigarh,592.9,7.91,highway,2,26.8467,80.9462,30.7333,76.7794
Chandigarh,Lucknow,592.9,7.91,highway,2,30.7333,76.7794,26.8467,80.9462
Lucknow,Amritsar,793.9,10.58,highway,2,26.8467,80.9462,31.634,74.8723
Amritsar,Lucknow,793.9,10.58,highway,2,31.634,74.8723,26.8467,80.9462
Lucknow,Ludhiana,669.7,8.93,highway,2,26.8467,80.9462,30.901,75.8573
Ludhiana,Lucknow,669.7,8.93,highway,2,30.901,75.8573,26.8467,80.9462
Lucknow,Mumbai,1194.7,15.93,highway,2,26.8467,80.9462,19.076,72.8777
Mumbai,Lucknow,1194.7,15.93,highway,2,19.076,72.8777,26.8467,80.9462
Lucknow,Pune,1176.7,15.69,highway,2,26.8467,80.9462,18.5204,73.8567
Pune,Lucknow,1176.7,15.69,highway,2,18.5204,73.8567,26.8467,80.9462
Lucknow,Nashik,1054.8,14.06,highway,2,26.8467,80.9462,20.0006,73.7828
Nashik,Lucknow,1054.8,14.06,highway,2,20.0006,73.7828,26.8467,80.9462
Lucknow,Nagpur,661.4,8.82,highway,2,26.8467,80.9462,21.1458,79.0882
Nagpur,Lucknow,661.4,8.82,highway,2,21.1458,79.0882,26.8467,80.9462
Lucknow,Ahmedabad,945.1,12.6,highway,2,26.8467,80.9462,23.0225,72.5714
Ahmedabad,Lucknow,945.1,12.6,highway,2,23.0225,72.5714,26.8467,80.9462
Lucknow,Surat,1037.7,13.84,highway,2,26.8467,80.9462,21.1702,72.8311
Surat,Lucknow,1037.7,13.84,highway,2,21.1702,72.8311,26.8467,80.9462
Lucknow,Vadodara,933.1,12.44,highway,2,26.8467,80.9462,22.3072,73.1812
Vadodara,Lucknow,933.1,12.44,highway,2,22.3072,73.1812,26.8467,80.9462
Lucknow,Rajkot,1142.8,15.24,highway,2,26.8467,80.9462,22.3039,70.8022
Rajkot,Lucknow,1142.8,15.24,highway,2,22.3039,70.8022,26.8467,80.9462
Lucknow,Indore,688.7,9.18,highway,2,26.8467,80.9462,22.7196,75.8577
Indore,Lucknow,688.7,9.18,highway,2,22.7196,75.8577,26.8467,80.9462
Lucknow,Bhopal,534.5,7.13,highway,2,26.8467,80.9462,23.2599,77.4126
Bhopal,Lucknow,534.5,7.13,highway,2,23.2599,77.4126,26.8467,80.9462
Lucknow,Bangalore,1581.9,21.09,highway,2,26.8467,80.9462,12.9716,77.5946
Bangalore,Lucknow,1581.9,21.09,highway,2,12.9716,77.5946,26.8467,80.9462
Lucknow,Chennai,1532.1,20.43,highway,2,26.8467,80.9462,13.0827,80.2707
Chennai,Lucknow,1532.1,20.43,highway,2,13.0827,80.2707,26.8467,80.9462
Lucknow,Hyderabad,1082.1,14.43,highway,2,26.8467,80.9462,17.385,78.4867
Hyderabad,Lucknow,1082.1,14.43,highway,2,17.385,78.4867,26.8467,80.9462
Lucknow,Kochi,1944.0,25.92,highway,2,26.8467,80.9462,9.9312,76.2673
Kochi,Lucknow,1944.0,25.92,highway,2,9.9312,76.2673,26.8467,80.9462
Lucknow,Coimbatore,1809.1,24.12,highway,2,26.8467,80.9462,11.0168,76.9558
Coimbatore,Lucknow,1809.1,24.12,highway,2,11.0168,76.9558,26.8467,80.9462
Lucknow,Kolkata,887.0,11.83,highway,2,26.8467,80.9462,22.5726,88.3639
Kolkata,Lucknow,887.0,11.83,highway,2,22.5726,88.3639,26.8467,80.9462
Lucknow,Patna,440.7,5.88,highway,2,26.8467,80.9462,25.5941,85.1376
Patna,Lucknow,440.7,5.88,highway,2,25.5941,85.1376,26.8467,80.9462
Lucknow,Bhubaneswar,881.6,11.76,highway,2,26.8467,80.9462,20.2961,85.8245
Bhubaneswar,Lucknow,881.6,11.76,highway,2,20.2961,85.8245,26.8467,80.9462
Lucknow,Guwahati,1076.3,14.35,highway,2,26.8467,80.9462,26.1445,91.7362
Guwahati,Lucknow,1076.3,14.35,highway,2,26.1445,91.7362,26.8467,80.9462
Lucknow,Ranchi,587.1,7.83,highway,2,26.8467,80.9462,23.3441,85.3096
Ranchi,Lucknow,587.1,7.83,highway,2,23.3441,85.3096,26.8467,80.9462
Kanpur,Varanasi,292.8,3.9,highway,2,26.4499,80.3319,25.3176,82.9739
Varanasi,Kanpur,292.8,3.9,highway,2,25.3176,82.9739,26.4499,80.3319
Kanpur,Prayagraj,188.8,3.43,regional,1,26.4499,80.3319,25.4358,81.8463
Prayagraj,Kanpur,188.8,3.43,regional,1,25.4358,81.8463,26.4499,80.3319
Kanpur,Jodhpur,728.5,9.71,highway,2,26.4499,80.3319,26.2389,73.0243
Jodhpur,Kanpur,728.5,9.71,highway,2,26.2389,73.0243,26.4499,80.3319
Kanpur,Udaipur,695.7,9.28,highway,2,26.4499,80.3319,24.5854,73.7125
Udaipur,Kanpur,695.7,9.28,highway,2,24.5854,73.7125,26.4499,80.3319
Kanpur,Kota,467.7,6.24,highway,2,26.4499,80.3319,25.2138,75.8648
Kota,Kanpur,467.7,6.24,highway,2,25.2138,75.8648,26.4499,80.3319
Kanpur,Bikaner,715.6,9.54,highway,2,26.4499,80.3319,28.0229,73.3119
Bikaner,Kanpur,715.6,9.54,highway,2,28.0229,73.3119,26.4499,80.3319
Kanpur,Mathura,287.8,3.84,highway,2,26.4499,80.3319,27.4924,77.6737
Mathura,Kanpur,287.8,3.84,highway,2,27.4924,77.6737,26.4499,80.3319
Kanpur,Meerut,382.4,5.1,highway,2,26.4499,80.3319,28.9845,77.7064
Meerut,Kanpur,382.4,5.1,highway,2,28.9845,77.7064,26.4499,80.3319
Kanpur,Haridwar,442.9,5.91,highway,2,26.4499,80.3319,29.9457,78.1642
Haridwar,Kanpur,442.9,5.91,highway,2,29.9457,78.1642,26.4499,80.3319
Kanpur,Chandigarh,589.1,7.85,highway,2,26.4499,80.3319,30.7333,76.7794
Chandigarh,Kanpur,589.1,7.85,highway,2,30.7333,76.7794,26.4499,80.3319
Kanpur,Amritsar,783.3,10.44,highway,2,26.4499,80.3319,31.634,74.8723
Amritsar,Kanpur,783.3,10.44,highway,2,31.634,74.8723,26.4499,80.3319
Kanpur,Ludhiana,659.8,8.8,highway,2,26.4499,80.3319,30.901,75.8573
Ludhiana,Kanpur,659.8,8.8,highway,2,30.901,75.8573,26.4499,80.3319
Kanpur,Mumbai,1120.3,14.94,highway,2,26.4499,80.3319,19.076,72.8777
Mumbai,Kanpur,1120.3,14.94,highway,2,19.076,72.8777,26.4499,80.3319
Kanpur,Pune,1104.0,14.72,highway,2,26.4499,80.3319,18.5204,73.8567
Pune,Kanpur,1104.0,14.72,highway,2,18.5204,73.8567,26.4499,80.3319
Kanpur,Nashik,980.5,13.07,highway,2,26.4499,80.3319,20.0006,73.7828
Nashik,Kanpur,980.5,13.07,highway,2,20.0006,73.7828,26.4499,80.3319
Kanpur,Nagpur,603.2,8.04,highway,2,26.4499,80.3319,21.1458,79.0882
Nagpur,Kanpur,603.2,8.04,highway,2,21.1458,79.0882,26.4499,80.3319
Kanpur,Ahmedabad,871.2,11.62,highway,2,26.4499,80.3319,23.0225,72.5714
Ahmedabad,Kanpur,871.2,11.62,highway,2,23.0225,72.5714,26.4499,80.3319
Kanpur,Surat,962.4,12.83,highway,2,26.4499,80.3319,21.1702,72.8311
Surat,Kanpur,962.4,12.83,highway,2,21.1702,72.8311,26.4499,80.3319
Kanpur,Vadodara,858.0,11.44,highway,2,26.4499,80.3319,22.3072,73.1812
Vadodara,Kanpur,858.0,11.44,highway,2,22.3072,73.1812,26.4499,80.3319
Kanpur,Rajkot,1069.2,14.26,highway,2,26.4499,80.3319,22.3039,70.8022
Rajkot,Kanpur,1069.2,14.26,highway,2,22.3039,70.8022,26.4499,80.3319
Kanpur,Indore,613.7,8.18,highway,2,26.4499,80.3319,22.7196,75.8577
Indore,Kanpur,613.7,8.18,highway,2,22.7196,75.8577,26.4499,80.3319
Kanpur,Bhopal,461.0,6.15,highway,2,26.4499,80.3319,23.2599,77.4126
Bhopal,Kanpur,461.0,6.15,highway,2,23.2599,77.4126,26.4499,80.3319
Kanpur,Bangalore,1525.7,20.34,highway,2,26.4499,80.3319,12.9716,77.5946
Bangalore,Kanpur,1525.7,20.34,highway,2,12.9716,77.5946,26.4499,80.3319
Kanpur,Chennai,1486.4,19.82,highway,2,26.4499,80.3319,13.0827,80.2707
Chennai,Kanpur,1486.4,19.82,highway,2,13.0827,80.2707,26.4499,80.3319
Kanpur,Hyderabad,1025.7,13.68,highway,2,26.4499,80.3319,17.385,78.4867
Hyderabad,Kanpur,1025.7,13.68,highway,2,17.385,78.4867,26.4499,80.3319
Kanpur,Kochi,1885.9,25.14,highway,2,26.4499,80.3319,9.9312,76.2673
Kochi,Kanpur,1885.9,25.14,highway,2,9.9312,76.2673,26.4499,80.3319
Kanpur,Coimbatore,1752.2,23.36,highway,2,26.4499,80.3319,11.0168,76.9558
Coimbatore,Kanpur,1752.2,23.36,highway,2,11.0168,76.9558,26.4499,80.3319
Kanpur,Kolkata,919.6,12.26,highway,2,26.4499,80.3319,22.5726,88.3639
Kolkata,Kanpur,919.6,12.26,highway,2,22.5726,88.3639,26.4499,80.3319
Kanpur,Patna,489.5,6.53,highway,2,26.4499,80.3319,25.5941,85.1376
Patna,Kanpur,489.5,6.53,highway,2,25.5941,85.1376,26.4499,80.3319
Kanpur,Bhubaneswar,884.3,11.79,highway,2,26.4499,80.3319,20.2961,85.8245
Bhubaneswar,Kanpur,884.3,11.79,highway,2,20.2961,85.8245,26.4499,80.3319
Kanpur,Guwahati,1137.0,15.16,highway,2,26.4499,80.3319,26.1445,91.7362
Guwahati,Kanpur,1137.0,15.16,highway,2,26.1445,91.7362,26.4499,80.3319
Kanpur,Ranchi,609.3,8.12,highway,2,26.4499,80.3319,23.3441,85.3096
Ranchi,Kanpur,609.3,8.12,highway,2,23.3441,85.3096,26.4499,80.3319
Varanasi,Prayagraj,114.0,2.07,regional,1,25.3176,82.9739,25.4358,81.8463
Prayagraj,Varanasi,114.0,2.07,regional,1,25.4358,81.8463,25.3176,82.9739
Varanasi,Jodhpur,1001.2,13.35,highway,2,25.3176,82.9739,26.2389,73.0243
Jodhpur,Varanasi,1001.2,13.35,highway,2,26.2389,73.0243,25.3176,82.9739
Varanasi,Udaipur,937.1,12.49,highway,2,25.3176,82.9739,24.5854,73.7125
Udaipur,Varanasi,937.1,12.49,highway,2,24.5854,73.7125,25.3176,82.9739
Varanasi,Kota,714.9,9.53,highway,2,25.3176,82.9739,25.2138,75.8648
Kota,Varanasi,714.9,9.53,highway,2,25.2138,75.8648,25.3176,82.9739
Varanasi,Bikaner,1005.7,13.41,highway,2,25.3176,82.9739,28.0229,73.3119
Bikaner,Varanasi,1005.7,13.41,highway,2,28.0229,73.3119,25.3176,82.9739
Varanasi,Mathura,580.5,7.74,highway,2,25.3176,82.9739,27.4924,77.6737
Mathura,Varanasi,580.5,7.74,highway,2,27.4924,77.6737,25.3176,82.9739
Varanasi,Meerut,661.6,8.82,highway,2,25.3176,82.9739,28.9845,77.7064
Meerut,Varanasi,661.6,8.82,highway,2,28.9845,77.7064,25.3176,82.9739
Varanasi,Haridwar,699.3,9.32,highway,2,25.3176,82.9739,29.9457,78.1642
Haridwar,Varanasi,699.3,9.32,highway,2,29.9457,78.1642,25.3176,82.9739
Varanasi,Chandigarh,855.4,11.41,highway,2,25.3176,82.9739,30.7333,76.7794
Chandigarh,Varanasi,855.4,11.41,highway,2,30.7333,76.7794,25.3176,82.9739
Varanasi,Amritsar,1057.8,14.1,highway,2,25.3176,82.9739,31.634,74.8723
Amritsar,Varanasi,1057.8,14.1,highway,2,31.634,74.8723,25.3176,82.9739
Varanasi,Ludhiana,933.7,12.45,highway,2,25.3176,82.9739,30.901,75.8573
Ludhiana,Varanasi,933.7,12.45,highway,2,30.901,75.8573,25.3176,82.9739
Varanasi,Mumbai,1249.1,16.65,highway,2,25.3176,82.9739,19.076,72.8777
Mumbai,Varanasi,1249.1,16.65,highway,2,19.076,72.8777,25.3176,82.9739
Varanasi,Pune,1205.8,16.08,highway,2,25.3176,82.9739,18.5204,73.8567
Pune,Varanasi,1205.8,16.08,highway,2,18.5204,73.8567,25.3176,82.9739
Varanasi,Nashik,1112.5,14.83,highway,2,25.3176,82.9739,20.0006,73.7828
Nashik,Varanasi,1112.5,14.83,highway,2,20.0006,73.7828,25.3176,82.9739
Varanasi,Nagpur,610.5,8.14,highway,2,25.3176,82.9739,21.1458,79.0882
Nagpur,Varanasi,610.5,8.14,highway,2,21.1458,79.0882,25.3176,82.9739
Varanasi,Ahmedabad,1085.4,14.47,highway,2,25.3176,82.9739,23.0225,72.5714
Ahmedabad,Varanasi,1085.4,14.47,highway,2,23.0225,72.5714,25.3176,82.9739
Varanasi,Surat,1133.8,15.12,highway,2,25.3176,82.9739,21.1702,72.8311
Surat,Varanasi,1133.8,15.12,highway,2,21.1702,72.8311,25.3176,82.9739
Varanasi,Vadodara,1050.6,14.01,highway,2,25.3176,82.9739,22.3072,73.1812
Vadodara,Varanasi,1050.6,14.01,highway,2,22.3072,73.1812,25.3176,82.9739
Varanasi,Rajkot,1282.2,17.1,highway,2,25.3176,82.9739,22.3039,70.8022
Rajkot,Varanasi,1282.2,17.1,highway,2,22.3039,70.8022,25.3176,82.9739
Varanasi,Indore,778.2,10.38,highway,2,25.3176,82.9739,22.7196,75.8577
Indore,Varanasi,778.2,10.38,highway,2,22.7196,75.8577,25.3176,82.9739
Varanasi,Bhopal,608.2,8.11,highway,2,25.3176,82.9739,23.2599,77.4126
Bhopal,Varanasi,608.2,8.11,highway,2,23.2599,77.4126,25.3176,82.9739
Varanasi,Bangalore,1484.0,19.79,highway,2,25.3176,82.9739,12.9716,77.5946
Bangalore,Varanasi,1484.0,19.79,highway,2,12.9716,77.5946,25.3176,82.9739
Varanasi,Chennai,1389.6,18.53,highway,2,25.3176,82.9739,13.0827,80.2707
Chennai,Varanasi,1389.6,18.53,highway,2,13.0827,80.2707,25.3176,82.9739
Varanasi,Hyderabad,996.7,13.29,highway,2,25.3176,82.9739,17.385,78.4867
Hyderabad,Varanasi,996.7,13.29,highway,2,17.385,78.4867,25.3176,82.9739
Varanasi,Kochi,1851.6,24.69,highway,2,25.3176,82.9739,9.9312,76.2673
Kochi,Varanasi,1851.6,24.69,highway,2,9.9312,76.2673,25.3176,82.9739
Varanasi,Coimbatore,1711.8,22.82,highway,2,25.3176,82.9739,11.0168,76.9558
Coimbatore,Varanasi,1711.8,22.82,highway,2,11.0168,76.9558,25.3176,82.9739
Varanasi,Kolkata,627.0,8.36,highway,2,25.3176,82.9739,22.5726,88.3639
Kolkata,Varanasi,627.0,8.36,highway,2,22.5726,88.3639,25.3176,82.9739
Varanasi,Patna,219.4,3.99,regional,1,25.3176,82.9739,25.5941,85.1376
Patna,Varanasi,219.4,3.99,regional,1,25.5941,85.1376,25.3176,82.9739
Varanasi,Bhubaneswar,630.1,8.4,highway,2,25.3176,82.9739,20.2961,85.8245
Bhubaneswar,Varanasi,630.1,8.4,highway,2,20.2961,85.8245,25.3176,82.9739
Varanasi,Guwahati,882.3,11.76,highway,2,25.3176,82.9739,26.1445,91.7362
Guwahati,Varanasi,882.3,11.76,highway,2,26.1445,91.7362,25.3176,82.9739
